function,description
K00001,"E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]"
K01689,"ENO, eno; enolase [EC:4.2.1.11]"
K01690,edd; phosphogluconate dehydratase [EC:4.2.1.12]
K01692,"paaF, echA; enoyl-CoA hydratase [EC:4.2.1.17]"
K01693,hisB; imidazoleglycerol-phosphate dehydratase [EC:4.2.1.19]
K01695,trpA; tryptophan synthase alpha chain [EC:4.2.1.20]
K01696,trpB; tryptophan synthase beta chain [EC:4.2.1.20]
K01697,CBS; cystathionine beta-synthase [EC:4.2.1.22]
K01698,"hemB, ALAD; porphobilinogen synthase [EC:4.2.1.24]"
K01699,pduC; propanediol dehydratase large subunit [EC:4.2.1.28]
K01702,LEU1; 3-isopropylmalate dehydratase [EC:4.2.1.33]
K01703,"leuC, IPMI-L; 3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]"
K01704,"leuD, IPMI-S; 3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35]"
K01706,gudD; glucarate dehydratase [EC:4.2.1.40]
K01707,kdgD; 5-dehydro-4-deoxyglucarate dehydratase [EC:4.2.1.41]
K01708,garD; galactarate dehydratase [EC:4.2.1.42]
K01709,"rfbG; CDP-glucose 4,6-dehydratase [EC:4.2.1.45]"
K01710,"E4.2.1.46, rfbB, rffG; dTDP-glucose 4,6-dehydratase [EC:4.2.1.46]"
K01711,"gmd, GMDS; GDPmannose 4,6-dehydratase [EC:4.2.1.47]"
K01712,"hutU, UROC1; urocanate hydratase [EC:4.2.1.49]"
K01713,pheC; cyclohexadienyl dehydratase [EC:4.2.1.51 4.2.1.91]
K01714,dapA; 4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]
K01715,crt; enoyl-CoA hydratase [EC:4.2.1.17]
K01716,fabA; 3-hydroxyacyl-[acyl-carrier protein] dehydratase / trans-2-decenoyl-[acyl-carrier protein] isomerase [EC:4.2.1.59 5.3.3.14]
K01719,"hemD, UROS; uroporphyrinogen-III synthase [EC:4.2.1.75]"
K01720,prpD; 2-methylcitrate dehydratase [EC:4.2.1.79]
K01721,nthA; nitrile hydratase subunit alpha [EC:4.2.1.84]
K01724,"PCBD, phhB; 4a-hydroxytetrahydrobiopterin dehydratase [EC:4.2.1.96]"
K01725,cynS; cyanate lyase [EC:4.2.1.104]
K01727,"hysA, hylA, hylB; hyaluronate lyase [EC:4.2.2.1]"
K01728,pel; pectate lyase [EC:4.2.2.2]
K01729,algL; poly(beta-D-mannuronate) lyase [EC:4.2.2.3]
K01730,ogl; oligogalacturonide lyase [EC:4.2.2.6]
K01731,pelW; pectate disaccharide-lyase [EC:4.2.2.9]
K01732,E4.2.2.10; pectin lyase [EC:4.2.2.10]
K01733,thrC; threonine synthase [EC:4.2.3.1]
K01734,mgsA; methylglyoxal synthase [EC:4.2.3.3]
K01735,aroB; 3-dehydroquinate synthase [EC:4.2.3.4]
K01736,aroC; chorismate synthase [EC:4.2.3.5]
K01737,"queD, ptpS, PTS; 6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]"
K01738,cysK; cysteine synthase A [EC:2.5.1.47]
K01739,metB; cystathionine gamma-synthase [EC:2.5.1.48]
K01740,metY; O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49]
K01744,aspA; aspartate ammonia-lyase [EC:4.3.1.1]
K01745,"hutH, HAL; histidine ammonia-lyase [EC:4.3.1.3]"
K01746,E4.3.1.4; formiminotetrahydrofolate cyclodeaminase [EC:4.3.1.4]
K01749,"hemC, HMBS; hydroxymethylbilane synthase [EC:2.5.1.61]"
K01750,"E4.3.1.12, ocd; ornithine cyclodeaminase [EC:4.3.1.12]"
K01751,E4.3.1.15; diaminopropionate ammonia-lyase [EC:4.3.1.15]
K01752,"E4.3.1.17, sdaA, sdaB, tdcG; L-serine dehydratase [EC:4.3.1.17]"
K01753,dsdA; D-serine dehydratase [EC:4.3.1.18]
K01754,"E4.3.1.19, ilvA, tdcB; threonine dehydratase [EC:4.3.1.19]"
K01755,"argH, ASL; argininosuccinate lyase [EC:4.3.2.1]"
K01756,"purB, ADSL; adenylosuccinate lyase [EC:4.3.2.2]"
K01758,CTH; cystathionine gamma-lyase [EC:4.4.1.1]
K01759,"GLO1, gloA; lactoylglutathione lyase [EC:4.4.1.5]"
K01760,metC; cystathionine beta-lyase [EC:4.4.1.8]
K01761,E4.4.1.11; methionine-gamma-lyase [EC:4.4.1.11]
K01762,ACS; 1-aminocyclopropane-1-carboxylate synthase [EC:4.4.1.14]
K01766,csdA; cysteine sulfinate desulfinase [EC:4.4.1.-]
K01768,E4.6.1.1; adenylate cyclase [EC:4.6.1.1]
K01769,"E4.6.1.2; guanylate cyclase, other [EC:4.6.1.2]"
K01770,"ispF; 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:4.6.1.12]"
K01771,plc; 1-phosphatidylinositol phosphodiesterase [EC:4.6.1.13]
K01772,"hemH, FECH; protoporphyrin/coproporphyrin ferrochelatase [EC:4.99.1.1 4.99.1.9]"
K01775,alr; alanine racemase [EC:5.1.1.1]
K01776,murI; glutamate racemase [EC:5.1.1.3]
K01777,prdF; proline racemase [EC:5.1.1.4]
K01778,dapF; diaminopimelate epimerase [EC:5.1.1.7]
K01779,racD; aspartate racemase [EC:5.1.1.13]
K01781,mdlA; mandelate racemase [EC:5.1.2.2]
K01782,fadJ; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase [EC:1.1.1.35 4.2.1.17 5.1.2.3]
K01783,"rpe, RPE; ribulose-phosphate 3-epimerase [EC:5.1.3.1]"
K01784,"galE, GALE; UDP-glucose 4-epimerase [EC:5.1.3.2]"
K01785,"galM, GALM; aldose 1-epimerase [EC:5.1.3.3]"
K01787,RENBP; N-acylglucosamine 2-epimerase [EC:5.1.3.8]
K01788,nanE; N-acylglucosamine-6-phosphate 2-epimerase [EC:5.1.3.9]
K01790,"rfbC, rmlC; dTDP-4-dehydrorhamnose 3,5-epimerase [EC:5.1.3.13]"
K01791,wecB; UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing) [EC:5.1.3.14]
K01792,E5.1.3.15; glucose-6-phosphate 1-epimerase [EC:5.1.3.15]
K01795,algG; mannuronan 5-epimerase [EC:5.1.3.37]
K01796,"E5.1.99.4, AMACR, mcr; alpha-methylacyl-CoA racemase [EC:5.1.99.4]"
K01799,"nicE, maiA; maleate isomerase [EC:5.2.1.1]"
K01800,"maiA, GSTZ1; maleylacetoacetate isomerase [EC:5.2.1.2]"
K01801,nagL; maleylpyruvate isomerase [EC:5.2.1.4]
K01802,E5.2.1.8; peptidylprolyl isomerase [EC:5.2.1.8]
K01803,"TPI, tpiA; triosephosphate isomerase (TIM) [EC:5.3.1.1]"
K01804,araA; L-arabinose isomerase [EC:5.3.1.4]
K01805,xylA; xylose isomerase [EC:5.3.1.5]
K01807,rpiA; ribose 5-phosphate isomerase A [EC:5.3.1.6]
K01808,rpiB; ribose 5-phosphate isomerase B [EC:5.3.1.6]
K01809,"manA, MPI; mannose-6-phosphate isomerase [EC:5.3.1.8]"
K01810,"GPI, pgi; glucose-6-phosphate isomerase [EC:5.3.1.9]"
K01811,"xylS, yicI; alpha-D-xyloside xylohydrolase [EC:3.2.1.177]"
K01812,uxaC; glucuronate isomerase [EC:5.3.1.12]
K01813,rhaA; L-rhamnose isomerase [EC:5.3.1.14]
K01814,hisA; phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase [EC:5.3.1.16]
K01815,kduI; 4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase [EC:5.3.1.17]
K01816,"hyi, gip; hydroxypyruvate isomerase [EC:5.3.1.22]"
K01817,trpF; phosphoribosylanthranilate isomerase [EC:5.3.1.24]
K01818,fucI; L-fucose/D-arabinose isomerase [EC:5.3.1.25 5.3.1.3]
K01819,"E5.3.1.26, lacA, lacB; galactose-6-phosphate isomerase [EC:5.3.1.26]"
K01820,rhaA; L-rhamnose isomerase / sugar isomerase [EC:5.3.1.14 5.3.1.-]
K01821,"praC, xylH; 4-oxalocrotonate tautomerase [EC:5.3.2.6]"
K01822,E5.3.3.1; steroid Delta-isomerase [EC:5.3.3.1]
K01823,"idi, IDI; isopentenyl-diphosphate Delta-isomerase [EC:5.3.3.2]"
K01825,fadB; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase [EC:1.1.1.35 4.2.1.17 5.1.2.3 5.3.3.8]
K01826,"hpaF, hpcD; 5-carboxymethyl-2-hydroxymuconate isomerase [EC:5.3.3.10]"
K01829,E5.3.4.1; protein disulfide-isomerase [EC:5.3.4.1]
K01834,"PGAM, gpmA; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
K01835,pgm; phosphoglucomutase [EC:5.4.2.2]
K01838,pgmB; beta-phosphoglucomutase [EC:5.4.2.6]
K01839,deoB; phosphopentomutase [EC:5.4.2.7]
K01840,manB; phosphomannomutase [EC:5.4.2.8]
K01841,pepM; phosphoenolpyruvate phosphomutase [EC:5.4.2.9]
K01843,"kamA; lysine 2,3-aminomutase [EC:5.4.3.2]"
K01844,"kamD; beta-lysine 5,6-aminomutase alpha subunit [EC:5.4.3.3]"
K01845,"hemL; glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]"
K01846,"glmS, mutS, mamA; methylaspartate mutase sigma subunit [EC:5.4.99.1]"
K01847,MUT; methylmalonyl-CoA mutase [EC:5.4.99.2]
K01848,"E5.4.99.2A, mcmA1; methylmalonyl-CoA mutase, N-terminal domain [EC:5.4.99.2]"
K01849,"E5.4.99.2B, mcmA2; methylmalonyl-CoA mutase, C-terminal domain [EC:5.4.99.2]"
K01851,pchA; salicylate biosynthesis isochorismate synthase [EC:5.4.4.2]
K01852,"LSS, ERG7; lanosterol synthase [EC:5.4.99.7]"
K01854,glf; UDP-galactopyranose mutase [EC:5.4.99.9]
K01856,catB; muconate cycloisomerase [EC:5.5.1.1]
K01857,"pcaB; 3-carboxy-cis,cis-muconate cycloisomerase [EC:5.5.1.2]"
K01858,"INO1, ISYNA1; myo-inositol-1-phosphate synthase [EC:5.5.1.4]"
K01860,E5.5.1.7; chloromuconate cycloisomerase [EC:5.5.1.7]
K01865,hab; (hydroxyamino)benzene mutase [EC:5.4.4.1]
K01866,"YARS, tyrS; tyrosyl-tRNA synthetase [EC:6.1.1.1]"
K01867,"WARS, trpS; tryptophanyl-tRNA synthetase [EC:6.1.1.2]"
K01868,"TARS, thrS; threonyl-tRNA synthetase [EC:6.1.1.3]"
K01869,"LARS, leuS; leucyl-tRNA synthetase [EC:6.1.1.4]"
K01870,"IARS, ileS; isoleucyl-tRNA synthetase [EC:6.1.1.5]"
K01872,"AARS, alaS; alanyl-tRNA synthetase [EC:6.1.1.7]"
K01873,"VARS, valS; valyl-tRNA synthetase [EC:6.1.1.9]"
K01874,"MARS, metG; methionyl-tRNA synthetase [EC:6.1.1.10]"
K01875,"SARS, serS; seryl-tRNA synthetase [EC:6.1.1.11]"
K01876,aspS; aspartyl-tRNA synthetase [EC:6.1.1.12]
K01878,glyQ; glycyl-tRNA synthetase alpha chain [EC:6.1.1.14]
K01879,glyS; glycyl-tRNA synthetase beta chain [EC:6.1.1.14]
K01880,"GARS, glyS1; glycyl-tRNA synthetase [EC:6.1.1.14]"
K01881,"PARS, proS; prolyl-tRNA synthetase [EC:6.1.1.15]"
K01883,"CARS, cysS; cysteinyl-tRNA synthetase [EC:6.1.1.16]"
K01884,"cysS1; cysteinyl-tRNA synthetase, unknown class [EC:6.1.1.16]"
K01885,"EARS, gltX; glutamyl-tRNA synthetase [EC:6.1.1.17]"
K01886,"QARS, glnS; glutaminyl-tRNA synthetase [EC:6.1.1.18]"
K01887,"RARS, argS; arginyl-tRNA synthetase [EC:6.1.1.19]"
K01889,"FARSA, pheS; phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20]"
K01890,"FARSB, pheT; phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20]"
K01892,"HARS, hisS; histidyl-tRNA synthetase [EC:6.1.1.21]"
K01893,"NARS, asnS; asparaginyl-tRNA synthetase [EC:6.1.1.22]"
K01894,gluQ; glutamyl-Q tRNA(Asp) synthetase [EC:6.1.1.-]
K01895,"ACSS, acs; acetyl-CoA synthetase [EC:6.2.1.1]"
K01896,ACSM; medium-chain acyl-CoA synthetase [EC:6.2.1.2]
K01897,"ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]"
K01902,sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]
K01903,sucC; succinyl-CoA synthetase beta subunit [EC:6.2.1.5]
K01904,4CL; 4-coumarate--CoA ligase [EC:6.2.1.12]
K01905,acdA; acetate---CoA ligase (ADP-forming) subunit alpha [EC:6.2.1.13]
K01906,bioW; 6-carboxyhexanoate--CoA ligase [EC:6.2.1.14]
K01907,"AACS, acsA; acetoacetyl-CoA synthetase [EC:6.2.1.16]"
K01908,prpE; propionyl-CoA synthetase [EC:6.2.1.17]
K01909,mbtM; long-chain-fatty-acid--[acyl-carrier-protein] ligase [EC:6.2.1.20]
K01910,citC; [citrate (pro-3S)-lyase] ligase [EC:6.2.1.22]
K01911,menE; O-succinylbenzoic acid---CoA ligase [EC:6.2.1.26]
K01912,paaK; phenylacetate-CoA ligase [EC:6.2.1.30]
K01914,asnA; aspartate--ammonia ligase [EC:6.3.1.1]
K01915,"glnA, GLUL; glutamine synthetase [EC:6.3.1.2]"
K01916,nadE; NAD+ synthase [EC:6.3.1.5]
K01918,panC; pantoate--beta-alanine ligase [EC:6.3.2.1]
K01919,gshA; glutamate--cysteine ligase [EC:6.3.2.2]
K01920,gshB; glutathione synthase [EC:6.3.2.3]
K01921,ddl; D-alanine-D-alanine ligase [EC:6.3.2.4]
K01922,"PPCS, COAB; phosphopantothenate---cysteine ligase (ATP) [EC:6.3.2.51]"
K01923,purC; phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6]
K01924,murC; UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8]
K01925,murD; UDP-N-acetylmuramoylalanine--D-glutamate ligase [EC:6.3.2.9]
K01926,rex; redox-sensing transcriptional repressor
K01928,"murE; UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase [EC:6.3.2.13]"
K01929,murF; UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [EC:6.3.2.10]
K01933,purM; phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1]
K01934,MTHFS; 5-formyltetrahydrofolate cyclo-ligase [EC:6.3.3.2]
K01935,bioD; dethiobiotin synthetase [EC:6.3.3.3]
K01937,"pyrG, CTPS; CTP synthase [EC:6.3.4.2]"
K01938,fhs; formate--tetrahydrofolate ligase [EC:6.3.4.3]
K01939,"purA, ADSS; adenylosuccinate synthase [EC:6.3.4.4]"
K01940,"argG, ASS1; argininosuccinate synthase [EC:6.3.4.5]"
K01941,E6.3.4.6; urea carboxylase [EC:6.3.4.6]
K01945,purD; phosphoribosylamine---glycine ligase [EC:6.3.4.13]
K01947,birA-coaX; biotin---[acetyl-CoA-carboxylase] ligase / type III pantothenate kinase [EC:6.3.4.15 2.7.1.33]
K01950,"E6.3.5.1, NADSYN1, QNS1, nadE; NAD+ synthase (glutamine-hydrolysing) [EC:6.3.5.1]"
K01951,"guaA, GMPS; GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]"
K01952,"purL, PFAS; phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]"
K01953,"asnB, ASNS; asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]"
K01955,"carB, CPA2; carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]"
K01956,"carA, CPA1; carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]"
K01958,"PC, pyc; pyruvate carboxylase [EC:6.4.1.1]"
K01959,pycA; pyruvate carboxylase subunit A [EC:6.4.1.1]
K01960,pycB; pyruvate carboxylase subunit B [EC:6.4.1.1]
K01961,"accC; acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]"
K01962,accA; acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2 2.1.3.15]
K01963,accD; acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15]
K01965,"PCCA, pccA; propionyl-CoA carboxylase alpha chain [EC:6.4.1.3]"
K01966,"PCCB, pccB; propionyl-CoA carboxylase beta chain [EC:6.4.1.3 2.1.3.15]"
K01968,E6.4.1.4A; 3-methylcrotonyl-CoA carboxylase alpha subunit [EC:6.4.1.4]
K01969,E6.4.1.4B; 3-methylcrotonyl-CoA carboxylase beta subunit [EC:6.4.1.4]
K01971,ligD; bifunctional non-homologous end joining protein LigD [EC:6.5.1.1]
K01972,"E6.5.1.2, ligA, ligB; DNA ligase (NAD+) [EC:6.5.1.2]"
K01974,"RTCA, rtcA; RNA 3'-terminal phosphate cyclase (ATP) [EC:6.5.1.4]"
K01975,"thpR; RNA 2',3'-cyclic 3'-phosphodiesterase [EC:3.1.4.58]"
K01989,ABC.X4.S; putative ABC transport system substrate-binding protein
K01990,ABC-2.A; ABC-2 type transport system ATP-binding protein
K01991,"ABC-2.OM, wza; polysaccharide biosynthesis/export protein"
K01992,ABC-2.P; ABC-2 type transport system permease protein
K01993,ABC-2.TX; HlyD family secretion protein
K01994,"gerE; LuxR family transcriptional regulator, transcriptional regulator of spore coat protein"
K01995,livG; branched-chain amino acid transport system ATP-binding protein
K01996,livF; branched-chain amino acid transport system ATP-binding protein
K01997,livH; branched-chain amino acid transport system permease protein
K01998,livM; branched-chain amino acid transport system permease protein
K01999,livK; branched-chain amino acid transport system substrate-binding protein
K02000,proV; glycine betaine/proline transport system ATP-binding protein [EC:3.6.3.32]
K02001,proW; glycine betaine/proline transport system permease protein
K02002,proX; glycine betaine/proline transport system substrate-binding protein
K02003,ABC.CD.A; putative ABC transport system ATP-binding protein
K02004,ABC.CD.P; putative ABC transport system permease protein
K02005,ABC.CD.TX; HlyD family secretion protein
K02006,cbiO; cobalt/nickel transport system ATP-binding protein
K02007,cbiM; cobalt/nickel transport system permease protein
K02008,cbiQ; cobalt/nickel transport system permease protein
K02009,cbiN; cobalt/nickel transport protein
K02010,"afuC, fbpC; iron(III) transport system ATP-binding protein [EC:3.6.3.30]"
K02011,"afuB, fbpB; iron(III) transport system permease protein"
K02012,"afuA, fbpA; iron(III) transport system substrate-binding protein"
K02013,ABC.FEV.A; iron complex transport system ATP-binding protein [EC:3.6.3.34]
K02014,TC.FEV.OM; iron complex outermembrane recepter protein
K02015,ABC.FEV.P; iron complex transport system permease protein
K02016,ABC.FEV.S; iron complex transport system substrate-binding protein
K02017,modC; molybdate transport system ATP-binding protein [EC:3.6.3.29]
K02018,modB; molybdate transport system permease protein
K02019,modE; molybdate transport system regulatory protein
K02020,modA; molybdate transport system substrate-binding protein
K02021,ABC.MR; putative ABC transport system ATP-binding protein
K02022,ABC.MR.TX; HlyD family secretion protein
K02024,lamB; maltoporin
K02025,ABC.MS.P; multiple sugar transport system permease protein
K02026,ABC.MS.P1; multiple sugar transport system permease protein
K02027,ABC.MS.S; multiple sugar transport system substrate-binding protein
K02028,ABC.PA.A; polar amino acid transport system ATP-binding protein [EC:3.6.3.21]
K02029,ABC.PA.P; polar amino acid transport system permease protein
K02030,ABC.PA.S; polar amino acid transport system substrate-binding protein
K02031,ABC.PE.A; peptide/nickel transport system ATP-binding protein
K02032,ABC.PE.A1; peptide/nickel transport system ATP-binding protein
K02033,ABC.PE.P; peptide/nickel transport system permease protein
K02034,ABC.PE.P1; peptide/nickel transport system permease protein
K02035,ABC.PE.S; peptide/nickel transport system substrate-binding protein
K02036,pstB; phosphate transport system ATP-binding protein [EC:3.6.3.27]
K02037,pstC; phosphate transport system permease protein
K02038,pstA; phosphate transport system permease protein
K02039,phoU; phosphate transport system protein
K02040,pstS; phosphate transport system substrate-binding protein
K02041,phnC; phosphonate transport system ATP-binding protein [EC:3.6.3.28]
K02042,phnE; phosphonate transport system permease protein
K02043,"phnF; GntR family transcriptional regulator, phosphonate transport system regulatory protein"
K02044,phnD; phosphonate transport system substrate-binding protein
K02045,cysA; sulfate transport system ATP-binding protein [EC:3.6.3.25]
K02046,cysU; sulfate transport system permease protein
K02047,cysW; sulfate transport system permease protein
K02048,"cysP, sbp; sulfate transport system substrate-binding protein"
K02049,ABC.SN.A; NitT/TauT family transport system ATP-binding protein
K02050,ABC.SN.P; NitT/TauT family transport system permease protein
K02051,ABC.SN.S; NitT/TauT family transport system substrate-binding protein
K02052,ABC.SP.A; putative spermidine/putrescine transport system ATP-binding protein
K02053,ABC.SP.P; putative spermidine/putrescine transport system permease protein
K02054,ABC.SP.P1; putative spermidine/putrescine transport system permease protein
K02055,ABC.SP.S; putative spermidine/putrescine transport system substrate-binding protein
K02056,ABC.SS.A; simple sugar transport system ATP-binding protein [EC:3.6.3.17]
K02057,ABC.SS.P; simple sugar transport system permease protein
K02058,ABC.SS.S; simple sugar transport system substrate-binding protein
K02062,thiQ; thiamine transport system ATP-binding protein
K02063,thiP; thiamine transport system permease protein
K02064,"thiB, tbpA; thiamine transport system substrate-binding protein"
K02065,"mlaF, linL, mkl; phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein"
K02066,"mlaE, linK; phospholipid/cholesterol/gamma-HCH transport system permease protein"
K02067,"mlaD, linM; phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein"
K02068,ABC.X2.A; putative ABC transport system ATP-binding protein
K02069,ABC.X2.P; putative ABC transport system permease protein
K02071,metN; D-methionine transport system ATP-binding protein
K02072,metI; D-methionine transport system permease protein
K02073,metQ; D-methionine transport system substrate-binding protein
K02074,ABC.ZM.A; zinc/manganese transport system ATP-binding protein
K02075,ABC.ZM.P; zinc/manganese transport system permease protein
K02076,"zurR, zur; Fur family transcriptional regulator, zinc uptake regulator"
K02077,ABC.ZM.S; zinc/manganese transport system substrate-binding protein
K02078,acpP; acyl carrier protein
K02079,agaA; N-acetylgalactosamine-6-phosphate deacetylase [EC:3.5.1.25]
K02080,agaI; galactosamine-6-phosphate isomerase [EC:5.3.1.-]
K02081,"agaR; DeoR family transcriptional regulator, aga operon transcriptional repressor"
K02082,agaS; tagatose-6-phosphate ketose/aldose isomerase [EC:5.-.-.-]
K02083,allC; allantoate deiminase [EC:3.5.3.9]
K02086,dnaD; DNA replication protein
K02092,apcA; allophycocyanin alpha subunit
K02093,apcB; allophycocyanin beta subunit
K02094,apcC; phycobilisome core linker protein
K02095,apcD; allophycocyanin-B
K02096,apcE; phycobilisome core-membrane linker protein
K02097,apcF; phycobilisome core component
K02099,"araC; AraC family transcriptional regulator, arabinose operon regulatory protein"
K02100,"araE; MFS transporter, SP family, arabinose:H+ symporter"
K02101,araL; arabinose operon protein AraL
K02103,"araR; GntR family transcriptional regulator, arabinose operon transcriptional repressor"
K02106,atoE; short-chain fatty acids transporter
K02107,"ATPVG, ahaH, atpH; V/A-type H+/Na+-transporting ATPase subunit G/H"
K02108,"ATPF0A, atpB; F-type H+-transporting ATPase subunit a"
K02109,"ATPF0B, atpF; F-type H+-transporting ATPase subunit b"
K02110,"ATPF0C, atpE; F-type H+-transporting ATPase subunit c"
K02111,"ATPF1A, atpA; F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14]"
K02112,"ATPF1B, atpD; F-type H+-transporting ATPase subunit beta [EC:3.6.3.14]"
K02113,"ATPF1D, atpH; F-type H+-transporting ATPase subunit delta"
K02114,"ATPF1E, atpC; F-type H+-transporting ATPase subunit epsilon"
K02115,"ATPF1G, atpG; F-type H+-transporting ATPase subunit gamma"
K02116,atpI; ATP synthase protein I
K02117,"ATPVA, ntpA, atpA; V/A-type H+/Na+-transporting ATPase subunit A [EC:3.6.3.14 3.6.3.15]"
K02118,"ATPVB, ntpB, atpB; V/A-type H+/Na+-transporting ATPase subunit B"
K02119,"ATPVC, ntpC, atpC; V/A-type H+/Na+-transporting ATPase subunit C"
K02120,"ATPVD, ntpD, atpD; V/A-type H+/Na+-transporting ATPase subunit D"
K02121,"ATPVE, ntpE, atpE; V/A-type H+/Na+-transporting ATPase subunit E"
K02122,"ATPVF, ntpF, atpF; V/A-type H+/Na+-transporting ATPase subunit F"
K02123,"ATPVI, ntpI, atpI; V/A-type H+/Na+-transporting ATPase subunit I"
K02124,"ATPVK, ntpK, atpK; V/A-type H+/Na+-transporting ATPase subunit K"
K02128,"ATPeF0C, ATP5G, ATP9; F-type H+-transporting ATPase subunit c"
K02160,"accB, bccP; acetyl-CoA carboxylase biotin carboxyl carrier protein"
K02164,norE; nitric oxide reductase NorE protein
K02167,"betI; TetR/AcrR family transcriptional regulator, transcriptional repressor of bet genes"
K02168,"betT, betS; choline/glycine/proline betaine transport protein"
K02169,bioC; malonyl-CoA O-methyltransferase [EC:2.1.1.197]
K02170,bioH; pimeloyl-[acyl-carrier protein] methyl ester esterase [EC:3.1.1.85]
K02171,"blaI; BlaI family transcriptional regulator, penicillinase repressor"
K02172,blaR1; bla regulator protein blaR1
K02173,yggC; putative kinase
K02182,caiC; carnitine-CoA ligase [EC:6.2.1.48]
K02183,CALM; calmodulin
K02188,cbiD; cobalt-precorrin-5B (C1)-methyltransferase [EC:2.1.1.195]
K02189,cbiG; cobalt-precorrin 5A hydrolase [EC:3.7.1.12]
K02190,cbiK; sirohydrochlorin cobaltochelatase [EC:4.99.1.3]
K02191,cbiT; cobalt-precorrin-6B (C15)-methyltransferase [EC:2.1.1.196]
K02192,bfd; bacterioferritin-associated ferredoxin
K02193,ccmA; heme exporter protein A [EC:3.6.3.41]
K02194,ccmB; heme exporter protein B
K02195,ccmC; heme exporter protein C
K02196,ccmD; heme exporter protein D
K02197,ccmE; cytochrome c-type biogenesis protein CcmE
K02198,ccmF; cytochrome c-type biogenesis protein CcmF
K02199,"ccmG, dsbE; cytochrome c biogenesis protein CcmG, thiol:disulfide interchange protein DsbE"
K02200,ccmH; cytochrome c-type biogenesis protein CcmH
K02201,E2.7.7.3B; pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]
K02203,thrH; phosphoserine / homoserine phosphotransferase [EC:3.1.3.3 2.7.1.39]
K02204,thrB2; homoserine kinase type II [EC:2.7.1.39]
K02205,"rocE, rocC; arginine/ornithine permease"
K02217,"ftnA, ftn; ferritin [EC:1.16.3.2]"
K02221,yggT; YggT family protein
K02224,"cobB-cbiA; cobyrinic acid a,c-diamide synthase [EC:6.3.5.9 6.3.5.11]"
K02225,"cobC1, cobC; cobalamin biosynthetic protein CobC"
K02226,"cobC, phpB; alpha-ribazole phosphatase [EC:3.1.3.73]"
K02227,"cbiB, cobD; adenosylcobinamide-phosphate synthase [EC:6.3.1.10]"
K02228,cobF; precorrin-6A synthase [EC:2.1.1.152]
K02229,cobG; precorrin-3B synthase [EC:1.14.13.83]
K02230,cobN; cobaltochelatase CobN [EC:6.6.1.2]
K02231,"cobP, cobU; adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase [EC:2.7.1.156 2.7.7.62]"
K02232,"cobQ, cbiP; adenosylcobyric acid synthase [EC:6.3.5.10]"
K02233,"E2.7.8.26, cobS, cobV; adenosylcobinamide-GDP ribazoletransferase [EC:2.7.8.26]"
K02234,cobW; cobalamin biosynthesis protein CobW
K02236,comC; leader peptidase (prepilin peptidase) / N-methyltransferase [EC:3.4.23.43 2.1.1.-]
K02237,comEA; competence protein ComEA
K02238,comEC; competence protein ComEC
